A,B,C,D,y1,y2
A1,B1,C1,D1,9.3000,5.6000
A1,B1,C1,D1,10.1000,4.2000
A1,B1,C1,D1,10.9000,4.9000
A1,B1,C1,D1,9.7000,5.3000
A1,B1,C1,D2,14.5960,2.7328
A1,B1,C1,D2,15.3960,3.1328
A1,B1,C1,D2,14.1960,3.4328
A1,B1,C1,D2,13.7960,2.0328
A1,B1,C2,D1,11.6560,6.3208
A1,B1,C2,D1,10.4560,4.9208
A1,B1,C2,D1,10.0560,5.6208
A1,B1,C2,D1,10.8560,6.0208
A1,B1,C2,D2,31.6360,-8.0152
A1,B1,C2,D2,31.2360,-7.6152
A1,B1,C2,D2,32.0360,-7.3152
A1,B1,C2,D2,32.8360,-8.7152
A1,B2,C1,D1,10.1160,4.9888
A1,B2,C1,D1,10.9160,3.5888
A1,B2,C1,D1,11.7160,4.2888
A1,B2,C1,D1,10.5160,4.6888
A1,B2,C1,D2,21.3000,-2.0000
A1,B2,C1,D2,22.1000,-1.6000
A1,B2,C1,D2,20.9000,-1.3000
A1,B2,C1,D2,20.5000,-2.7000
A1,B2,C2,D1,13.4960,4.7428
A1,B2,C2,D1,12.2960,3.3428
A1,B2,C2,D1,11.8960,4.0428
A1,B2,C2,D1,12.6960,4.4428
A1,B2,C2,D2,50.1160,-21.2412
A1,B2,C2,D2,49.7160,-20.8412
A1,B2,C2,D2,50.5160,-20.5412
A1,B2,C2,D2,51.3160,-21.9412
A2,B1,C1,D1,10.5010,5.9993
A2,B1,C1,D1,11.3010,4.5993
A2,B1,C1,D1,12.1010,5.2993
A2,B1,C1,D1,10.9010,5.6993
A2,B1,C1,D2,18.2610,1.7573
A2,B1,C1,D2,19.0610,2.1573
A2,B1,C1,D2,17.8610,2.4573
A2,B1,C1,D2,17.4610,1.0573
A2,B1,C2,D1,13.2250,6.4625
A2,B1,C2,D1,12.0250,5.0625
A2,B1,C2,D1,11.6250,5.7625
A2,B1,C2,D1,12.4250,6.1625
A2,B1,C2,D2,40.6610,-12.7427
A2,B1,C2,D2,40.2610,-12.3427
A2,B1,C2,D2,41.0610,-12.0427
A2,B1,C2,D2,41.8610,-13.4427
A2,B2,C1,D1,11.9810,5.3433
A2,B2,C1,D1,12.7810,3.9433
A2,B2,C1,D1,13.5810,4.6433
A2,B2,C1,D1,12.3810,5.0433
A2,B2,C1,D2,27.7410,-4.4987
A2,B2,C1,D2,28.5410,-4.0987
A2,B2,C1,D2,27.3410,-3.7987
A2,B2,C1,D2,26.9410,-5.1987
A2,B2,C2,D1,16.4010,4.3693
A2,B2,C2,D1,15.2010,2.9693
A2,B2,C2,D1,14.8010,3.6693
A2,B2,C2,D1,15.6010,4.0693
A2,B2,C2,D2,64.1250,-29.0375
A2,B2,C2,D2,63.7250,-28.6375
A2,B2,C2,D2,64.5250,-28.3375
A2,B2,C2,D2,65.3250,-29.7375
