A,B,C,y
A1,B1,C1,8.370635643801176
A1,B1,C1,7.62578612830637
A1,B1,C1,8.475418723956945
A1,B1,C1,8.295368892837487
A1,B1,C1,7.812256355457616
A1,B1,C1,9.143130575588438
A1,B1,C1,7.732040848331189
A1,B1,C2,8.697460312077316
A1,B1,C2,8.616133283342872
A1,B1,C2,8.52306419424787
A1,B1,C2,8.022508473062985
A1,B1,C2,8.570715282597403
A1,B1,C2,8.35239548908099
A1,B1,C2,8.916488475863483
A1,B2,C1,8.02764565201979
A1,B2,C1,8.326615977652095
A1,B2,C1,9.719090333629762
A1,B2,C1,9.334728708144088
A1,B2,C1,8.907429363044445
A1,B2,C1,8.149697854439463
A1,B2,C1,8.083289714930245
A1,B2,C2,7.574425002152762
A1,B2,C2,9.073532063569782
A1,B2,C2,9.613359136245727
A1,B2,C2,9.097922254600565
A1,B2,C2,8.525513058395974
A1,B2,C2,9.488089577988509
A1,B2,C2,9.078322275287922
A2,B1,C1,9.586524675154589
A2,B1,C1,8.51407256828742
A2,B1,C1,8.276608748790682
A2,B1,C1,9.487393550802043
A2,B1,C1,9.394235211611274
A2,B1,C1,9.881501406028201
A2,B1,C1,9.700612195358612
A2,B1,C2,9.151527510415937
A2,B1,C2,9.534472515024916
A2,B1,C2,10.016583072046421
A2,B1,C2,9.880598484881114
A2,B1,C2,9.478711063794101
A2,B1,C2,9.272055143793603
A2,B1,C2,10.228960824013948
A2,B2,C1,9.592040798018386
A2,B2,C1,9.417038241458535
A2,B2,C1,11.172102556143479
A2,B2,C1,11.120068620874644
A2,B2,C1,9.164222037833403
A2,B2,C1,10.284421458843209
A2,B2,C1,10.42065934204983
A2,B2,C2,10.336262931297538
A2,B2,C2,11.309134738423966
A2,B2,C2,10.963352425061059
A2,B2,C2,9.65847284584525
A2,B2,C2,11.078639575955846
A2,B2,C2,11.419323764611944
A2,B2,C2,10.859856330145591
