A,B,y
A1,B1,10.186940572967996
A1,B1,9.946212233190806
A1,B1,9.89308305436432
A1,B1,10.028967573877868
A1,B1,10.234561467668428
A1,B1,10.464469779711328
A1,B1,10.953408259360154
A1,B2,10.222877600398222
A1,B2,10.56382808575392
A1,B2,10.374722334657811
A1,B2,10.892655386958248
A1,B2,10.444877963830512
A1,B2,11.17411370588843
A1,B2,9.818335443343152
A1,B2,11.410106452439546
A1,B2,10.148228265849003
A2,B1,10.799932776463978
A2,B1,11.500831975456729
A2,B1,12.00453995911545
A2,B1,11.452618117328557
A2,B1,11.695492863986294
A2,B1,12.053747108213226
A2,B1,11.768774030109377
A2,B1,10.94755542092
A2,B2,13.535794847317133
A2,B2,13.567473496559892
A2,B2,11.852925256076535
A2,B2,12.341241515140874
A2,B2,13.133486283081293
A2,B2,12.661057688412232
A2,B2,12.249698475585493
A2,B2,12.592026322770534
A2,B2,12.610443306706173
A2,B2,13.029954522479102
