g,y1,y2
A,2.15,1.0
A,2.725263033117912,0.8901507917168713
A,2.9230277045063886,0.7169527591226146
A,2.714710492158807,0.6153447825708173
A,2.2369416070263632,0.7767395887590148
A,1.691766100129864,1.1485885282619048
A,1.2724497705839672,1.4248767217897083
A,1.130632725527163,1.3821502179004386
A,1.3469083570563862,1.1216041469650342
A,1.8801443612016482,0.9026771047601938
A,2.531125869357321,0.8204747348676207
A,2.988832088575208,0.7725537538560034
A,2.981177001898155,0.7138208204450346
A,2.4552153795668814,0.7768206916496024
A,1.6540314534792484,1.0556877565494203
A,1.0063510530995068,1.3805583003564366
A,0.8771733488001748,1.4541676332922298
A,1.3405883870552258,1.2033115978320725
B,2.9499999999999997,1.44
B,3.525263033117912,1.3301507917168711
B,3.7230277045063884,1.1569527591226145
B,3.514710492158807,1.0553447825708173
B,3.036941607026363,1.216739588759015
B,2.4917661001298637,1.5885885282619048
B,2.072449770583967,1.8648767217897082
B,1.930632725527163,1.8221502179004385
B,2.146908357056386,1.5616041469650341
B,2.680144361201648,1.3426771047601935
B,3.331125869357321,1.2604747348676206
B,3.788832088575208,1.2125537538560034
B,3.781177001898155,1.1538208204450344
B,3.2552153795668812,1.2168206916496023
B,2.454031453479248,1.4956877565494202
B,1.8063510530995066,1.8205583003564365
B,1.6771733488001745,1.8941676332922297
B,2.1405883870552254,1.6433115978320725
C,3.65,1.8250000000000002
C,4.225263033117912,1.7151507917168713
C,4.423027704506389,1.5419527591226148
C,4.214710492158807,1.4403447825708176
C,3.7369416070263632,1.6017395887590151
C,3.191766100129864,1.973588528261905
C,2.7724497705839672,2.2498767217897084
C,2.630632725527163,2.207150217900439
C,2.8469083570563862,1.9466041469650341
C,3.380144361201648,1.7276771047601938
C,4.0311258693573215,1.6454747348676209
C,4.488832088575208,1.5975537538560036
C,4.481177001898155,1.5388208204450347
C,3.9552153795668814,1.6018206916496025
C,3.154031453479248,1.8806877565494204
C,2.506351053099507,2.2055583003564365
C,2.377173348800175,2.27916763329223
C,2.8405883870552255,2.0283115978320727
