A,B,C,y1,y2
A1,B1,C1,5.16,3.55
A1,B1,C1,5.568916374994258,3.413127858575492
A1,B1,C1,5.803419309381668,3.1625493757249727
A1,B1,C1,5.774725063167696,2.8671194891037524
A1,B1,C1,5.482813273369945,2.652984258385266
A1,B1,C1,5.018262779568057,2.6029964556834564
A1,B1,C1,4.532684380934337,2.683304610534952
A1,B1,C1,4.187701502857997,2.7778498793141106
A1,B1,C1,4.099947593194293,2.80002619966566
A1,B1,C1,4.301028946472241,2.7693416329922593
A1,B1,C1,4.72631050881801,2.777797578327656
A1,B1,C1,5.236473640121802,2.886482181164255
A1,B1,C2,5.5600000000000005,4.05
A1,B1,C2,5.968916374994258,3.913127858575492
A1,B1,C2,6.203419309381668,3.6625493757249727
A1,B1,C2,6.174725063167696,3.3671194891037524
A1,B1,C2,5.882813273369945,3.152984258385266
A1,B1,C2,5.418262779568058,3.1029964556834564
A1,B1,C2,4.9326843809343375,3.183304610534952
A1,B1,C2,4.587701502857997,3.2778498793141106
A1,B1,C2,4.499947593194293,3.30002619966566
A1,B1,C2,4.701028946472241,3.2693416329922593
A1,B1,C2,5.12631050881801,3.277797578327656
A1,B1,C2,5.636473640121802,3.386482181164255
A1,B2,C1,5.71,4.3
A1,B2,C1,6.1189163749942574,4.163127858575491
A1,B2,C1,6.3534193093816675,3.9125493757249727
A1,B2,C1,6.324725063167696,3.6171194891037524
A1,B2,C1,6.032813273369945,3.402984258385266
A1,B2,C1,5.568262779568057,3.3529964556834564
A1,B2,C1,5.082684380934337,3.433304610534952
A1,B2,C1,4.7377015028579965,3.5278498793141106
A1,B2,C1,4.649947593194293,3.55002619966566
A1,B2,C1,4.8510289464722405,3.5193416329922593
A1,B2,C1,5.27631050881801,3.527797578327656
A1,B2,C1,5.786473640121802,3.636482181164255
A1,B2,C2,6.29,4.64
A1,B2,C2,6.6989163749942575,4.503127858575491
A1,B2,C2,6.933419309381668,4.252549375724972
A1,B2,C2,6.904725063167696,3.957119489103752
A1,B2,C2,6.612813273369945,3.742984258385266
A1,B2,C2,6.148262779568057,3.6929964556834562
A1,B2,C2,5.662684380934337,3.7733046105349524
A1,B2,C2,5.317701502857997,3.8678498793141105
A1,B2,C2,5.229947593194293,3.8900261996656598
A1,B2,C2,5.4310289464722405,3.859341632992259
A1,B2,C2,5.85631050881801,3.8677975783276564
A1,B2,C2,6.366473640121802,3.976482181164255
A2,B1,C1,5.96,3.9000000000000004
A2,B1,C1,6.3689163749942574,3.763127858575492
A2,B1,C1,6.6034193093816675,3.512549375724973
A2,B1,C1,6.574725063167696,3.2171194891037524
A2,B1,C1,6.282813273369945,3.0029842583852666
A2,B1,C1,5.818262779568057,2.9529964556834565
A2,B1,C1,5.332684380934337,3.033304610534952
A2,B1,C1,4.9877015028579965,3.1278498793141103
A2,B1,C1,4.899947593194293,3.15002619966566
A2,B1,C1,5.1010289464722405,3.1193416329922594
A2,B1,C1,5.52631050881801,3.127797578327656
A2,B1,C1,6.036473640121802,3.2364821811642552
A2,B1,C2,6.6000000000000005,4.68
A2,B1,C2,7.008916374994258,4.543127858575492
A2,B1,C2,7.243419309381668,4.292549375724972
A2,B1,C2,7.2147250631676965,3.9971194891037523
A2,B1,C2,6.922813273369946,3.782984258385266
A2,B1,C2,6.458262779568058,3.7329964556834563
A2,B1,C2,5.9726843809343375,3.8133046105349524
A2,B1,C2,5.627701502857997,3.9078498793141105
A2,B1,C2,5.539947593194293,3.93002619966566
A2,B1,C2,5.741028946472241,3.899341632992259
A2,B1,C2,6.16631050881801,3.9077975783276564
A2,B1,C2,6.676473640121802,4.016482181164255
A2,B2,C1,6.8100000000000005,4.45
A2,B2,C1,7.218916374994258,4.313127858575491
A2,B2,C1,7.453419309381668,4.062549375724973
A2,B2,C1,7.424725063167696,3.7671194891037527
A2,B2,C1,7.132813273369945,3.5529842583852664
A2,B2,C1,6.668262779568058,3.5029964556834567
A2,B2,C1,6.1826843809343375,3.583304610534953
A2,B2,C1,5.837701502857997,3.677849879314111
A2,B2,C1,5.749947593194293,3.7000261996656603
A2,B2,C1,5.951028946472241,3.6693416329922597
A2,B2,C1,6.37631050881801,3.6777975783276564
A2,B2,C1,6.886473640121802,3.7864821811642555
A2,B2,C2,7.78,5.29
A2,B2,C2,8.188916374994259,5.153127858575491
A2,B2,C2,8.423419309381668,4.9025493757249725
A2,B2,C2,8.394725063167696,4.607119489103752
A2,B2,C2,8.102813273369945,4.392984258385266
A2,B2,C2,7.638262779568057,4.342996455683457
A2,B2,C2,7.152684380934337,4.423304610534953
A2,B2,C2,6.807701502857997,4.51784987931411
A2,B2,C2,6.719947593194293,4.54002619966566
A2,B2,C2,6.921028946472241,4.5093416329922595
A2,B2,C2,7.34631050881801,4.517797578327657
A2,B2,C2,7.856473640121802,4.626482181164255
