A,B,y1,y2
A1,B1,4.12,2.0
A1,B1,4.587523505634835,1.884129017024459
A1,B1,4.841269739675778,1.7110633740305408
A1,B1,4.878065928861865,1.5570019442889473
A1,B1,4.730059169315957,1.5769849775885798
A1,B1,4.4157004543079195,1.8193940533591748
A1,B1,3.9574747402547956,2.1424650640422147
A1,B1,3.4398431334560287,2.345709945634895
A1,B1,3.0309379220534503,2.3632081514335086
A1,B1,2.9187612991720178,2.2906676047540793
A1,B1,3.1937710909404338,2.228558838428113
A1,B1,3.7694532954591744,2.151638466790479
A1,B1,4.412803838561278,1.9719492322495764
A1,B1,4.871164706135435,1.70586692828538
A1,B2,4.7700000000000005,2.39
A1,B2,5.237523505634836,2.274129017024459
A1,B2,5.491269739675778,2.101063374030541
A1,B2,5.528065928861865,1.9470019442889475
A1,B2,5.380059169315957,1.9669849775885797
A1,B2,5.06570045430792,2.209394053359175
A1,B2,4.607474740254795,2.532465064042215
A1,B2,4.089843133456029,2.7357099456348952
A1,B2,3.6809379220534506,2.7532081514335087
A1,B2,3.568761299172018,2.6806676047540794
A1,B2,3.843771090940434,2.6185588384281133
A1,B2,4.419453295459175,2.5416384667904786
A1,B2,5.062803838561278,2.361949232249576
A1,B2,5.521164706135435,2.0958669282853797
A2,B1,5.12,2.6
A2,B1,5.587523505634835,2.484129017024459
A2,B1,5.841269739675778,2.311063374030541
A2,B1,5.878065928861865,2.157001944288947
A2,B1,5.730059169315957,2.17698497758858
A2,B1,5.4157004543079195,2.419394053359175
A2,B1,4.957474740254795,2.742465064042215
A2,B1,4.439843133456028,2.945709945634895
A2,B1,4.03093792205345,2.9632081514335087
A2,B1,3.918761299172018,2.8906676047540794
A2,B1,4.193771090940434,2.8285588384281133
A2,B1,4.769453295459175,2.7516384667904785
A2,B1,5.412803838561278,2.571949232249576
A2,B1,5.871164706135435,2.3058669282853796
A2,B2,6.22,3.26
A2,B2,6.687523505634835,3.1441290170244587
A2,B2,6.941269739675778,2.9710633740305408
A2,B2,6.978065928861865,2.817001944288947
A2,B2,6.830059169315956,2.83698497758858
A2,B2,6.515700454307919,3.0793940533591746
A2,B2,6.057474740254794,3.4024650640422145
A2,B2,5.539843133456028,3.605709945634895
A2,B2,5.13093792205345,3.6232081514335084
A2,B2,5.018761299172018,3.550667604754079
A2,B2,5.293771090940433,3.488558838428113
A2,B2,5.8694532954591745,3.4116384667904787
A2,B2,6.512803838561277,3.231949232249576
A2,B2,6.9711647061354345,2.96586692828538
