subject,group,time,y
A1,A,T1,6.962073549240395
A1,A,T2,7.6654648713412845
A1,A,T3,8.327056000402994
A2,A,T1,7.1254648713412845
A2,A,T2,7.787056000402994
A2,A,T3,8.442159875234603
A3,A,T1,7.247056000402994
A3,A,T2,7.902159875234604
A3,A,T3,8.592053786266844
A4,A,T1,6.7221598752346035
A4,A,T2,7.412053786266843
A4,A,T3,8.146029225090054
A5,A,T1,6.872053786266843
A5,A,T2,7.606029225090054
A5,A,T3,8.352849329935939
A6,A,T1,7.066029225090054
A6,A,T2,7.81284932993594
A6,A,T3,8.52946791233117
A7,A,T1,7.27284932993594
A7,A,T2,7.989467912331169
A7,A,T3,8.660605924262088
A8,A,T1,6.8094679123311685
A8,A,T2,7.480605924262088
A8,A,T3,8.132798944455532
A9,A,T1,6.940605924262088
A9,A,T2,7.592798944455532
A9,A,T3,8.270000489672466
A10,A,T1,7.052798944455532
A10,A,T2,7.730000489672465
A10,A,T3,8.453171354099979
B1,B,T1,7.7620735492403945
B1,B,T2,8.685464871341285
B1,B,T3,9.567056000402992
B2,B,T1,7.925464871341284
B2,B,T2,8.807056000402994
B2,B,T3,9.682159875234602
B3,B,T1,8.047056000402993
B3,B,T2,8.922159875234604
B3,B,T3,9.832053786266842
B4,B,T1,7.522159875234603
B4,B,T2,8.432053786266843
B4,B,T3,9.386029225090052
B5,B,T1,7.672053786266843
B5,B,T2,8.626029225090054
B5,B,T3,9.592849329935937
B6,B,T1,7.866029225090053
B6,B,T2,8.83284932993594
B6,B,T3,9.769467912331168
B7,B,T1,8.072849329935938
B7,B,T2,9.00946791233117
B7,B,T3,9.900605924262086
B8,B,T1,7.609467912331168
B8,B,T2,8.500605924262087
B8,B,T3,9.37279894445553
B9,B,T1,7.740605924262088
B9,B,T2,8.612798944455532
B9,B,T3,9.510000489672464
B10,B,T1,7.8527989444555315
B10,B,T2,8.750000489672466
B10,B,T3,9.693171354099977
