cluster,condition,time,y
C1,A,0.0,2.8304882590884737
C1,A,1.0,3.3845578456095406
C1,A,2.0,3.8884672004835914
C1,A,3.0,4.384591850281525
C1,A,4.0,4.922464543520212
C2,A,0.0,3.054557845609541
C2,A,1.0,3.633467200483592
C2,A,2.0,4.204591850281524
C2,A,3.0,4.817464543520211
C2,A,4.0,5.483235070108065
C3,A,0.0,3.228467200483592
C3,A,1.0,3.6995918502815246
C3,A,2.0,4.212464543520211
C3,A,3.0,4.778235070108065
C3,A,4.0,5.359419195923127
C4,A,0.0,3.3945918502815244
C4,A,1.0,3.9824645435202117
C4,A,2.0,4.6232350701080644
C4,A,3.0,5.279419195923128
C4,A,4.0,5.899361494797404
C5,A,0.0,2.5024645435202117
C5,A,1.0,3.0432350701080644
C5,A,2.0,3.5994191959231268
C5,A,3.0,4.119361494797403
C5,A,4.0,4.584727109114505
C6,A,0.0,2.763235070108064
C6,A,1.0,3.3944191959231267
C6,A,2.0,3.9893614947974023
C6,A,3.0,4.529727109114506
C6,A,4.0,5.047358733346638
C7,A,0.0,3.039419195923127
C7,A,1.0,3.5343614947974027
C7,A,2.0,3.974727109114505
C7,A,3.0,4.392358733346638
C7,A,4.0,4.8400005876069585
C8,A,0.0,3.2793614947974032
C8,A,1.0,3.7947271091145054
C8,A,2.0,4.287358733346637
C8,A,3.0,4.810000587606958
C8,A,4.0,5.387805624919974
C9,B,0.0,4.114727109114505
C9,B,1.0,4.682358733346638
C9,B,2.0,5.280000587606959
C9,B,3.0,5.9328056249199745
C9,B,4.0,6.615210022209599
C10,B,0.0,3.177358733346638
C10,B,1.0,3.675000587606958
C10,B,2.0,4.227805624919974
C10,B,3.0,4.810210022209598
C10,B,4.0,5.369436441341692
C11,B,0.0,3.3700005876069574
C11,B,1.0,3.997805624919974
C11,B,2.0,4.655210022209598
C11,B,3.0,5.289436441341693
C11,B,4.0,5.869017270409428
C12,B,0.0,3.6178056249199737
C12,B,1.0,4.1752100222095985
C12,B,2.0,4.709436441341692
C12,B,3.0,5.189017270409427
C12,B,4.0,5.632725801000096
C13,B,0.0,3.8952100222095987
C13,B,1.0,4.504436441341692
C13,B,2.0,5.059017270409426
C13,B,3.0,5.5777258010000965
C13,B,4.0,6.112316150487226
C14,B,0.0,4.149436441341692
C14,B,1.0,4.604017270409427
C14,B,2.0,5.022725801000096
C14,B,3.0,5.457316150487228
C14,B,4.0,5.9449407651937
C15,B,0.0,3.249017270409427
C15,B,1.0,3.742725801000096
C15,B,2.0,4.252316150487226
C15,B,3.0,4.8149407651936995
C15,B,4.0,5.418992632579777
C16,B,0.0,3.4127258010000956
C16,B,1.0,3.9973161504872263
C16,B,2.0,4.6349407651937
C16,B,3.0,5.313992632579778
C16,B,4.0,5.984776715043658
