x,group,y
-2.5,A,low
-2.457983193277311,B,low
-2.4159663865546217,A,low
-2.3739495798319328,B,low
-2.331932773109244,A,low
-2.2899159663865545,B,low
-2.2478991596638656,A,low
-2.2058823529411766,B,low
-2.1638655462184873,A,low
-2.1218487394957983,B,low
-2.079831932773109,A,low
-2.03781512605042,B,low
-1.995798319327731,A,low
-1.953781512605042,B,low
-1.9117647058823528,A,low
-1.8697478991596639,B,low
-1.8277310924369747,A,low
-1.7857142857142856,B,low
-1.7436974789915967,A,low
-1.7016806722689075,B,low
-1.6596638655462184,A,low
-1.6176470588235294,B,low
-1.5756302521008403,A,low
-1.5336134453781511,B,low
-1.4915966386554622,A,low
-1.449579831932773,B,low
-1.407563025210084,A,low
-1.3655462184873948,B,low
-1.3235294117647058,A,low
-1.2815126050420167,B,low
-1.2394957983193275,A,low
-1.1974789915966386,B,low
-1.1554621848739495,A,low
-1.1134453781512603,B,mid
-1.0714285714285714,A,low
-1.0294117647058822,B,low
-0.9873949579831931,A,low
-0.9453781512605042,B,low
-0.903361344537815,A,low
-0.8613445378151259,B,mid
-0.8193277310924367,A,low
-0.7773109243697478,B,mid
-0.7352941176470587,A,low
-0.6932773109243695,B,mid
-0.6512605042016806,A,low
-0.6092436974789914,B,mid
-0.5672268907563023,A,mid
-0.5252100840336134,B,mid
-0.48319327731092443,A,low
-0.44117647058823506,B,mid
-0.39915966386554613,A,mid
-0.35714285714285676,B,mid
-0.31512605042016784,A,mid
-0.2731092436974789,B,mid
-0.23109243697478954,A,mid
-0.1890756302521006,B,mid
-0.1470588235294117,A,mid
-0.10504201680672232,B,mid
-0.06302521008403339,A,mid
-0.021008403361344463,B,mid
0.021008403361344907,A,mid
0.06302521008403383,B,mid
0.10504201680672276,A,mid
0.14705882352941213,B,mid
0.18907563025210106,A,mid
0.23109243697478998,B,high
0.27310924369747935,A,mid
0.3151260504201683,B,mid
0.3571428571428572,A,mid
0.3991596638655466,B,high
0.4411764705882355,A,mid
0.48319327731092443,B,high
0.5252100840336138,A,mid
0.5672268907563027,B,high
0.6092436974789917,A,mid
0.651260504201681,B,high
0.69327731092437,A,high
0.7352941176470589,B,high
0.7773109243697482,A,high
0.8193277310924372,B,high
0.8613445378151265,A,mid
0.9033613445378155,B,high
0.9453781512605044,A,high
0.9873949579831938,B,high
1.0294117647058827,A,high
1.0714285714285716,B,high
1.113445378151261,A,high
1.15546218487395,B,high
1.1974789915966388,A,high
1.2394957983193282,B,high
1.2815126050420171,A,high
1.323529411764706,B,high
1.3655462184873954,A,high
1.4075630252100844,B,high
1.4495798319327733,A,high
1.4915966386554627,B,high
1.5336134453781511,A,high
1.575630252100841,B,high
1.6176470588235299,A,high
1.6596638655462188,B,high
1.7016806722689077,A,high
1.7436974789915967,B,high
1.7857142857142865,A,high
1.8277310924369754,B,high
1.8697478991596643,A,high
1.9117647058823533,B,high
1.9537815126050422,A,high
1.995798319327731,B,high
2.037815126050421,A,high
2.07983193277311,B,high
2.1218487394957988,A,high
2.1638655462184877,B,high
2.2058823529411766,A,high
2.2478991596638656,B,high
2.2899159663865554,A,high
2.3319327731092443,B,high
2.373949579831933,A,high
2.415966386554622,B,high
2.457983193277311,A,high
2.5,B,high
