group,outcome
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,yes
C,no
C,no
C,no
C,no
C,no
C,no
C,no
C,no
C,no
C,no
