group,outcome
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,yes
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
A,no
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,yes
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
B,no
