subject,time,y
S1,T1,5.846
S1,T2,6.8260000000000005
S1,T3,7.806
S2,T1,6.026
S2,T2,7.086
S2,T3,7.906
S3,T1,6.2059999999999995
S3,T2,7.106
S3,T3,8.006
S4,T1,5.666
S4,T2,6.646000000000001
S4,T3,7.626
S5,T1,5.846
S5,T2,6.906000000000001
S5,T3,7.726
S6,T1,6.026
S6,T2,6.926
S6,T3,7.826
S7,T1,6.2059999999999995
S7,T2,7.186
S7,T3,8.166
S8,T1,5.666
S8,T2,6.726000000000001
S8,T3,7.546
S9,T1,5.846
S9,T2,6.746
S9,T3,7.646
S10,T1,6.026
S10,T2,7.006
S10,T3,7.986
S11,T1,6.2059999999999995
S11,T2,7.266
S11,T3,8.086
S12,T1,5.666
S12,T2,6.566000000000001
S12,T3,7.466
