outcome,exposure,strata
1,1,S1
1,1,S1
1,1,S1
1,1,S1
1,1,S1
1,1,S1
1,1,S1
1,1,S1
1,1,S1
1,1,S1
1,1,S1
1,1,S1
1,1,S1
1,1,S1
1,1,S1
0,1,S1
0,1,S1
0,1,S1
0,1,S1
0,1,S1
0,1,S1
0,1,S1
0,1,S1
1,0,S1
1,0,S1
1,0,S1
1,0,S1
1,0,S1
1,0,S1
1,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
0,0,S1
1,1,S2
1,1,S2
1,1,S2
1,1,S2
1,1,S2
1,1,S2
1,1,S2
1,1,S2
1,1,S2
1,1,S2
1,1,S2
1,1,S2
1,1,S2
0,1,S2
0,1,S2
0,1,S2
0,1,S2
0,1,S2
0,1,S2
0,1,S2
0,1,S2
0,1,S2
1,0,S2
1,0,S2
1,0,S2
1,0,S2
1,0,S2
1,0,S2
1,0,S2
1,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
0,0,S2
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
1,1,S3
0,1,S3
0,1,S3
0,1,S3
0,1,S3
0,1,S3
0,1,S3
0,1,S3
1,0,S3
1,0,S3
1,0,S3
1,0,S3
1,0,S3
1,0,S3
1,0,S3
1,0,S3
1,0,S3
0,0,S3
0,0,S3
0,0,S3
0,0,S3
0,0,S3
0,0,S3
0,0,S3
0,0,S3
0,0,S3
0,0,S3
0,0,S3
0,0,S3
0,0,S3
0,0,S3
1,1,S4
1,1,S4
1,1,S4
1,1,S4
1,1,S4
1,1,S4
1,1,S4
1,1,S4
1,1,S4
1,1,S4
1,1,S4
1,1,S4
1,1,S4
1,1,S4
0,1,S4
0,1,S4
0,1,S4
0,1,S4
0,1,S4
0,1,S4
0,1,S4
0,1,S4
0,1,S4
0,1,S4
1,0,S4
1,0,S4
1,0,S4
1,0,S4
1,0,S4
1,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
0,0,S4
