dose,outcome
low,yes
low,yes
low,yes
low,yes
low,yes
low,yes
low,yes
low,yes
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
low,no
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,yes
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
mid,no
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,yes
high,no
high,no
high,no
high,no
high,no
high,no
high,no
high,no
high,no
high,no
